Decoration,Base Decoration Abvr,Decoration Abvr,Simplified Decoration,Decoration Count,Medal URL,Bar URL,Citation Text
Efficiency Decoration,ED,ED,Efficiency Decoration,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Ribbon_-_Efficiency_Decoration_%28South_Africa%29.png/97px-Ribbon_-_Efficiency_Decoration_%28South_Africa%29.png,wikidata.org
George Cross,GC,GC,George Cross,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/UK_George_Cross_ribbon.svg/100px-UK_George_Cross_ribbon.svg.png,wikidata.org
George Medal,GM,GM,George Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/UK_George_Medal_ribbon.svg/110px-UK_George_Medal_ribbon.svg.png,wikidata.org
George Medal and Bar,GM,GM-Bar,George Medal and Bar,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/UK_GM_w_Bar_ribbon.svg/110px-UK_GM_w_Bar_ribbon.svg.png,wikidata.org
Italy Star,Italy Star,Italy Star,Italy Star,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ribbon_-_Italy_Star.png/95px-Ribbon_-_Italy_Star.png,
Military Cross,MC,MC,Military Cross,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Military_cross_BAR.svg/100px-Military_cross_BAR.svg.png,wikidata.org
Military Cross and Bar,MC,MC-Bar,Military Cross and Bar,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Military_cross_w_bar_BAR.svg/100px-Military_cross_w_bar_BAR.svg.png,wikidata.org
Military Cross and Bars,MC,MC-Bars,Military Cross and Bars,3,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Military_cross_w_2bars_BAR.svg/100px-Military_cross_w_2bars_BAR.svg.png,wikidata.org
Mentioned in Despatches,MiD,MiD,Mentioned in Despatches,2,,assets/img/medals/MentionedInDespatches1.png,
Twice Mentioned in Despatches,MiD,MiD-2,Mentioned in Despatches x 2,2,,assets/img/medals/MentionedInDespatches1.png,
Three times Mentioned in Despatches,MiD,MiD-3,Mentioned in Despatches x 3,3,,assets/img/medals/MentionedInDespatches1.png,
5 times Mentioned in Despatches,MiD,MiD-5,Mentioned in Despatches x 5,5,,,
Military Medal,MM,MM,Military Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/UK_Military_Medal_ribbon.svg/110px-UK_Military_Medal_ribbon.svg.png,wikidata.org
Military Medal and Bar,MM,MM-Bar,Military Medal and Bar,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/UK_MM_w_Bar_ribbon.svg/110px-UK_MM_w_Bar_ribbon.svg.png,wikidata.org
Meritorious Service Medal,MSM,MSM,Meritorious Service Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Meritorious_Service_Medal_%28NZ%29.png/97px-Meritorious_Service_Medal_%28NZ%29.png,wikidata.org
New Zealand Long and Efficient Service Medal,NZESM,NZESM,NZ Long and Efficient Service Medal,1,,https://upload.wikimedia.org/wikipedia/commons/d/db/New_Zealand_Long_%26_Eff_Svc_Medal_%28Vol._%26_Perm_Militia%29.gif,
New Zealand War Service Medal,NZWSM,NZWSM,NZ War Service,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/New_Zealand_War_Service_Medal_1939-1945_BAR.svg/100px-New_Zealand_War_Service_Medal_1939-1945_BAR.svg.png,
Commander of the Order of the British Empire,OBE,OBE-C,Commander of the Order of the British Empire,1,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Order_BritEmp_%28civil%29_rib.PNG,wikidata.org
Commander of the Most Excellent Order of the British Empire,OBE,OBE-C,Commander of the Order of the British Empire,1,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Order_BritEmp_%28civil%29_rib.PNG,
Member of the Order of the British Empire,OBE,OBE-M,Member of the Order of the British Empire,1,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Order_BritEmp_%28civil%29_rib.PNG,wikidata.org
Officer of the Order of the British Empire,OBE,OBE-O,Officer of the Order of the British Empire,1,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Order_BritEmp_%28civil%29_rib.PNG,wikidata.org
Order of the British Empire,OBE,OBE,Order of the British Empire,1,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Order_BritEmp_%28civil%29_rib.PNG,wikidata.org
Silver Jubilee Medal 1935,SJM,SJM,Silver Jubilee Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/UK_King_George_V_Silver_Jubilee_Medal_ribbon.svg/90px-UK_King_George_V_Silver_Jubilee_Medal_ribbon.svg.png,
Victoria Cross,VC,VC,Victoria Cross,1,,assets/img/medals/117px-UK_Victoria_Cross_ribbon.jpg,wikidata.org
Victory Medal,VM,VM,Victory Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Ribbon_-_Victory_Medal.png/106px-Ribbon_-_Victory_Medal.png,
1914-1915 Star,WW1-Star,WW1-Star,1914-1915 Star,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Ribbon_-_1914_Star.png/95px-Ribbon_-_1914_Star.png,
War Medal 1939-1945,WW2,WW2,War Medal WW2,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Ribbon_-_War_Medal.png/105px-Ribbon_-_War_Medal.png,
War Medal 1939-1945 with oak leaf,WW2,WW2-Oak,War Medal WW2 MiD,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ribbon_-_War_Medal_%26_MiD.png/121px-Ribbon_-_War_Medal_%26_MiD.png,
1939-45 Star,WW2-Star,WW2-Star,1939-45 Star,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Ribbon_-_1939-45_Star.png/95px-Ribbon_-_1939-45_Star.png,
1939-1945 Star,WW2-Star,WW2-Star,1939-45 Star,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Ribbon_-_1939-45_Star.png/95px-Ribbon_-_1939-45_Star.png,
